MAP_ID,AGENCY_ID,INTID,DATE,COUNTY,SYNCHRO_ID,ROAD1,ROAD2,ROAD3,CITY1,IS_SIGNALIZED,ZONE,TMC_DONE,TMC_DATE,LATITUDE,LONGITUDE,AM_PEAK,PM_PEAK,NORTH_LEG_IN_TOTAL,NORTH_LEG_OUT_TOTAL,NORTH_LEG_IN_AM_PEAK,NORTH_LEG_OUT_AM_PEAK,NORTH_LEG_IN_PM_PEAK,NORTH_LEG_OUT_PM_PEAK,SOUTH_LEG_IN_TOTAL,SOUTH_LEG_OUT_TOTAL,SOUTH_LEG_IN_AM_PEAK,SOUTH_LEG_OUT_AM_PEAK,SOUTH_LEG_IN_PM_PEAK,SOUTH_LEG_OUT_PM_PEAK,EAST_LEG_IN_TOTAL,EAST_LEG_OUT_TOTAL,EAST_LEG_IN_AM_PEAK,EAST_LEG_OUT_AM_PEAK,EAST_LEG_IN_PM_PEAK,EAST_LEG_OUT_PM_PEAK,WEST_LEG_IN_TOTAL,WEST_LEG_OUT_TOTAL,WEST_LEG_IN_AM_PEAK,WEST_LEG_OUT_AM_PEAK,WEST_LEG_IN_PM_PEAK,WEST_LEG_OUT_PM_PEAK
193_269,193,269,5/2/2017 12:00:00 AM,-,,ALABAMA AVENUE SE,32ND STREET SE,,-,False,,Yes,5/2/2017 12:00:00 AM,38.861707,-76.961491,06:30-09:30,15:30-18:30,216,185,49,86,140,80,263,217,188,32,51,156,3637,3187,1948,1225,1228,1491,3349,3876,1237,2079,1627,1319
193_270,193,270,5/15/2017 12:00:00 AM,-,,13TH STREET NE,PERRY STREET NE,,-,False,,Yes,5/15/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,1266,1338,614,371,503,790,1418,1322,437,601,791,560,139,251,66,43,60,190,426,338,94,196,301,115
193_271,193,271,5/3/2017 12:00:00 AM,-,,13TH STREET NE,HAMLIN STREET NE,,-,False,,Yes,5/3/2017 12:00:00 AM,38.927724,-76.98827,06:30-09:30,15:30-18:30,1548,1577,687,492,663,865,1616,1578,507,715,888,660,250,145,160,43,60,86,121,235,38,142,65,65
193_272,193,272,5/3/2017 12:00:00 AM,-,,10TH STREET NE,UPSHUR STREET NE,,-,False,,Yes,5/3/2017 12:00:00 AM,38.941803,-76.992632,06:30-09:30,15:30-18:30,0,659,0,285,0,304,980,0,319,0,564,0,210,397,166,58,31,301,48,182,9,151,34,24
193_273,193,273,5/16/2017 12:00:00 AM,-,,13TH STREET NE,GIRARD STREET NE,,-,False,,Yes,5/16/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,1484,1567,670,495,614,856,1608,1547,512,712,871,629,461,197,317,34,60,136,187,429,30,288,131,55
193_274,193,274,5/3/2017 12:00:00 AM,-,,NEAL STREET NE,STAPLES STREET NE,,-,False,,Yes,5/3/2017 12:00:00 AM,38.902731,-76.984667,06:30-09:30,15:30-18:30,96,86,44,28,39,48,138,127,42,59,81,51,448,588,216,157,160,362,548,429,153,211,331,150
193_275,193,275,5/16/2017 12:00:00 AM,-,,19TH STREET NE,I STREET NE,,-,False,,Yes,5/16/2017 12:00:00 AM,38.901963,-76.976223,06:30-09:30,15:30-18:30,0,1421,0,699,0,532,1471,0,706,0,570,0,298,481,154,131,109,291,431,298,122,152,258,114
193_276,193,276,5/16/2017 12:00:00 AM,-,,17TH STREET NW,VARNUM STREET NW,,-,False,,Yes,5/16/2017 12:00:00 AM,38.94293,-77.038804,06:30-09:30,15:30-18:30,141,85,95,30,36,43,87,143,24,96,53,38,57,102,32,29,18,62,96,51,28,24,59,23
193_277,193,277,4/20/2017 12:00:00 AM,-,,I STREET NW,21ST STREET NW,,-,False,,Yes,4/20/2017 12:00:00 AM,38.900711,-77.046647,06:30-09:30,15:30-18:30,4302,0,1298,0,2356,0,0,3611,0,921,0,2146,0,810,0,322,0,350,863,744,300,355,418,278
193_278,193,278,5/24/2017 12:00:00 AM,-,,PINEY BRANCH ROAD NW,ASPEN STREET NW,,-,False,,Yes,5/24/2017 12:00:00 AM,38.972339,-77.023644,06:30-09:30,15:30-18:30,2847,2394,1727,533,1012,1676,2708,3095,602,1882,1891,1102,829,752,578,136,232,550,490,633,94,450,359,166
193_279,193,279,5/24/2017 12:00:00 AM,-,,ASPEN STREET NW,6TH STREET NW,,-,False,,Yes,5/24/2017 12:00:00 AM,38.972347,-77.021424,06:30-09:30,15:30-18:30,176,174,91,64,85,110,171,157,62,89,109,68,969,907,664,194,305,713,856,934,183,653,673,281
193_280,193,280,6/5/2017 12:00:00 AM,-,,5TH STREET SE,INDEPENDENCE AVENUE SE,,-,False,,Yes,6/5/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,827,194,342,51,388,114,70,675,28,265,31,327,0,1911,0,303,0,1335,1883,0,249,0,1357,0
193_281,193,281,6/20/2017 12:00:00 AM,-,,C STREET SW,13 STREET SW,,-,False,,Yes,6/20/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,1,0,0,0,1,511,396,63,254,376,82,2335,2005,358,794,1576,817,2270,2714,983,356,861,1913
193_282,193,282,6/15/2017 12:00:00 AM,-,,IRVING STREET NE,26TH STREET NE,,-,False,,YES,6/15/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,94,26,66,9,25,11,53,67,21,32,26,30,103,66,75,21,24,40,82,173,24,124,49,43
193_283,193,283,6/15/2017 12:00:00 AM,-,,NORTH CAPITOL STREET NW,UNDERWOOD PLACE NW,,-,False,,Yes,6/15/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,176,183,105,127,47,44,134,164,101,105,27,38,80,40,48,19,25,14,74,77,32,35,30,33
193_284,193,284,6/1/2017 12:00:00 AM,-,,5TH STREET NW,ASPEN STREET NW,,-,False,,Yes,6/1/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,737,598,357,197,380,401,709,813,225,391,484,422,954,915,606,258,348,657,789,863,222,564,567,299
193_285,193,285,6/1/2017 12:00:00 AM,-,,5TH STREET NW,BUTTERNUT STREET NW,,-,False,,Yes,6/1/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,658,407,338,123,320,284,621,655,191,355,430,300,1002,906,484,343,518,563,835,1148,338,530,497,618
193_286,193,286,6/1/2017 12:00:00 AM,-,,5TH STREET NW,CEDAR STREET NW,,-,False,,Yes,6/1/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,628,242,331,74,297,168,427,677,126,364,301,313,763,601,467,188,296,413,430,728,131,429,299,299
193_287,193,287,6/1/2017 12:00:00 AM,-,,5TH STREET NW,WHITTIER STREET NW,,-,False,,Yes,6/1/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,725,764,386,218,339,546,845,686,211,368,634,318,839,668,543,180,296,488,511,802,149,523,362,279
193_288,193,288,6/1/2017 12:00:00 AM,-,,5TH STREET NW,VAN BUREN STREET,,-,False,,Yes,6/1/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,646,790,349,205,297,585,697,809,196,409,501,400,114,16,49,3,65,13,348,190,107,84,241,106
193_289,193,289,6/8/2017 12:00:00 AM,-,,13TH STREET NW,KENNEDY STREET NW,,-,False,,Yes,6/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,2323,1974,1336,525,987,1449,2229,2365,607,1386,1622,979,991,1358,548,521,443,837,1121,967,469,528,652,439
