INTID,COUNTY,CITY1,ROAD1,ROAD2,ROAD3,ROAD4,LATEST_DATE,LATITUDE,LONGITUDE
7,FRANKLIN,COLUMBUS,THIRD ST,SPRING ST,,,8/18/2011,39.9665586564051,-82.998820701449
9,FRANKLIN,COLUMBUS,FOURTH ST,LONG ST,,,9/16/2011,39.9654619653345,-82.996722992749
10,FRANKLIN,COLUMBUS,FOURTH ST,BROAD ST,,,9/14/2011,39.9627126772341,-82.9962623324679
13,FRANKLIN,COLUMBUS,HIGH ST,BROAD ST,,,10/7/2011,39.9622034177785,-83.0006382231053
18,FRANKLIN,COLUMBUS,THIRD ST,BROAD ST,,,8/30/2011,39.9625293290687,-82.9979945137271
21,FRANKLIN,COLUMBUS,GRANT AVE,BROAD ST,,,9/21/2011,39.9633069301018,-82.9910743930248
32,FRANKLIN,COLUMBUS,SECOND ST,MAIN ST,,,12/5/2011,39.9557265132833,-83.0029428828108
33,FRANKLIN,COLUMBUS,HIGH ST,LONG ST,,,10/5/2011,39.9649065141034,-83.0011758310862
34,FRANKLIN,COLUMBUS,HIGH ST,SPRING ST,,,10/6/2011,39.9662895417301,-83.0013885300527
37,FRANKLIN,COLUMBUS,THIRD ST,US 62 (MAIN ST),,,10/3/2011,39.9564108534803,-82.9968069446825
40,FRANKLIN,COLUMBUS,MARCONI BL,BROAD ST,,,3/6/2012,39.9618360076444,-83.003751569961
44,FRANKLIN,COLUMBUS,HIGH ST,STATE ST,,,2/21/2012,39.960136512874,-83.0002443802593
54,FRANKLIN,COLUMBUS,MARCONI BL,SPRING ST,,,3/5/2012,39.9658593165434,-83.0048999010486
56,FRANKLIN,COLUMBUS,HIGH ST,MAIN ST,,,2/22/2012,39.9561226496129,-82.9994559905763
77,FRANKLIN,COLUMBUS,FRONT ST,US 62,,,2/22/2012,39.9559447267569,-83.0012528900235
82,FRANKLIN,COLUMBUS,FRONT ST,NATIONWIDE PARKING GARAGE,,,8/26/2010,39.9673670489932,-83.0033828649814
98,FRANKLIN,COLUMBUS,HIGH ST,NATIONWIDE BLVD,,,2/21/2012,39.968992864652,-83.0019208043667
150,FRANKLIN,COLUMBUS,FOURTH ST,SPRING ST,,,9/15/2011,39.9667795833988,-82.9970562964678
152,FRANKLIN,COLUMBUS,THIRD ST,LONG ST,,,8/29/2011,39.9652275232519,-82.9985251179828
153,FRANKLIN,COLUMBUS,FRONT ST,BROAD ST,,,10/21/2011,39.9620287017972,-83.0024030359346
154,FRANKLIN,COLUMBUS,NEIL AVE,SPRUCE ST,,,9/30/2011,39.9725298457089,-83.0094250571217
159,FRANKLIN,COLUMBUS,FOURTH ST,MAIN ST,,,10/4/2011,39.9566348743476,-82.9951070223474
160,FRANKLIN,COLUMBUS,MARCONI BL,LONG ST,,,3/8/2012,39.9645324613957,-83.0046617241029
