file,name,id,date,time,ight,R,T,Right,Thru,Left,ight,hru,T,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,12:45-13:00,1,66,1,,31,1,1,45,3,,24,5,1,4,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,14:00-14:15,3,79,1,1,31,1,6,41,1,,33,4,1,4,5,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,14:15-14:30,4,78,1,3,28,,2,88,,,35,2,,3,4,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,14:30-14:45,1,71,2,1,21,,3,75,1,,46,3,1,4,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,14:45-15:00,2,66,1,2,18,,3,83,1,,49,2,,4,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,15:00-15:15,3,71,1,1,21,,,55,,,83,1,,5,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,15:15-15:30,1,73,2,2,23,,,42,,,100,2,1,3,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,15:30-15:45,3,75,1,1,23,1,,28,,,116,1,1,5,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,15:45-16:00,2,71,1,1,18,1,,25,,,112,,,2,5,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,16:00-16:15,,67,,1,21,,,50,,,139,1,,3,5,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,16:15-16:30,,61,1,1,21,,,65,,,177,2,1,1,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,16:30-16:45,1,59,,2,29,1,,40,2,,196,3,1,1,4,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,16:45-17:00,1,51,1,1,27,1,3,43,1,1,171,,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,17:00-17:15,,67,,,24,,3,51,,,185,2,1,2,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,17:15-17:30,1,76,1,,26,,4,49,1,,206,1,,2,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,17:30-17:45,,82,1,1,30,,4,52,1,,203,1,,2,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,17:45-18:00,,76,,1,27,,3,47,1,,197,2,,1,1,,,,,,
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,07:00-07:15,2,,2,3,43,,1,2,1,2,41,1,2,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,07:15-07:30,2,,2,2,46,,2,3,,3,51,,2,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,07:30-07:45,4,1,3,11,57,2,3,3,1,4,53,1,4,1,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,07:45-08:00,2,,1,6,46,1,2,2,1,7,46,,3,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,08:00-08:15,2,2,8,2,46,3,1,1,1,5,41,,1,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,08:15-08:30,6,,4,5,49,2,1,1,1,4,36,,2,,,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,08:30-08:45,1,,,3,58,3,2,1,,3,38,,3,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,08:45-09:00,1,1,3,12,66,,3,2,,2,41,,1,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,09:00-09:15,3,1,1,6,55,1,4,1,1,1,45,1,4,,1,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,09:15-09:30,,2,1,8,50,1,3,1,,1,47,1,4,1,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,09:30-09:45,3,2,2,2,69,1,3,3,1,1,50,2,1,,,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,09:45-10:00,2,2,2,5,57,,1,2,,,43,1,2,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,10:00-10:15,3,2,,7,53,,,1,,,44,,1,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,10:15-10:30,4,1,1,9,51,1,1,2,,,41,,2,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,10:30-10:45,4,2,,10,49,1,1,1,,,41,,1,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,10:45-11:00,4,2,,12,52,1,2,2,,,58,2,2,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,11:00-11:15,2,1,2,12,62,1,3,3,,,67,1,2,,2,7,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,11:15-11:30,4,,4,7,65,1,1,2,,,58,,19,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,11:30-11:45,4,,3,7,53,1,1,1,,1,56,,15,2,1,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,11:45-12:00,2,1,2,9,54,,1,1,,,61,,10,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,12:00-12:15,5,2,4,11,73,,1,3,,1,68,,6,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,12:15-12:30,5,5,4,11,67,4,1,3,1,,71,,5,,1,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,12:30-12:45,3,1,2,12,57,1,1,2,1,,79,,1,,1,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,12:45-13:00,4,2,3,10,62,3,1,1,1,,82,,2,,1,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,14:00-14:15,4,2,3,11,59,2,1,1,1,,86,,2,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,14:15-14:30,3,3,4,10,64,2,,1,,,89,,2,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,14:30-14:45,2,3,2,10,61,3,,,1,,91,,1,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,14:45-15:00,2,2,2,7,79,2,,,1,,101,,2,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,15:00-15:15,3,1,1,9,85,2,,,,,111,,1,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,15:15-15:30,2,1,2,7,87,1,,,,1,116,,2,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,15:30-15:45,3,1,1,8,90,2,,,,1,121,,2,,1,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,15:45-16:00,3,1,4,9,78,3,,1,1,2,108,,2,1,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,16:00-16:15,1,,3,9,97,2,,2,1,,111,,3,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,16:15-16:30,1,,,8,95,1,2,1,,1,109,,5,1,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,16:30-16:45,,,,17,60,,,,,1,115,,1,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,16:45-17:00,1,,1,4,75,5,,1,,,109,,2,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,17:00-17:15,3,,,11,104,2,,,,1,111,,2,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,17:15-17:30,2,,,5,82,2,,1,1,,117,,2,,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,17:30-17:45,2,,,9,96,2,1,2,,,111,,2,1,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/MINNESOTA%20AVENUE %20SE%20%26%2019TH%20STREET.txt,MINNESOTA AVENUE SE & 19TH STREET,x,8/16/2000,17:45-18:00,1,,,7,85,3,,1,1,1,106,,3,,,2,,,,,
file,name,id,date,time,Right,T,Left,Right,Thru,Left,Right,Thru,Left,TO,Thru,Left,,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,07:00-07:15,2,1,1,4,11,,,,,,7,2,1,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,07:15-07:30,3,1,1,5,13,,,,,,9,3,2,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,07:30-07:45,2,1,,3,16,,,,,,11,5,2,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,07:45-08:00,4,,,2,23,,2,,,,14,4,1,2,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,08:00-08:15,6,,3,5,20,1,,,,,19,3,,2,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,08:15-08:30,4,,8,9,27,,,1,,,19,6,,,4,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,08:30-08:45,2,,6,7,15,,1,1,,1,21,4,,1,7,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,08:45-09:00,1,,4,5,13,,,,1,,25,1,1,1,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,09:00-09:15,1,,3,4,11,,,,,,35,10,,2,5,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,09:15-09:30,1,,2,2,9,,1,1,,,23,7,,,6,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,09:30-09:45,,,1,1,7,,,,,,14,3,,,4,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,09:45-10:00,,,1,1,6,,1,,,,19,5,,,5,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,10:00-10:15,,,1,3,7,,1,,,,11,4,,,4,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,10:15-10:30,1,,2,4,3,,2,,,,7,3,,,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,10:30-10:45,2,,1,4,9,,1,,,,4,4,,2,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,10:45-11:00,3,,2,3,11,,1,,,,5,4,,2,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,11:00-11:15,5,1,4,7,9,1,,,1,,13,2,,2,5,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/July/37TH%20STREET %20NW%20%26%20PROSPECT%20STREET.txt,37TH STREET NW & PROSPECT STREET,x,7/25/2000,11:15-11:30,6,1,2,3,17,1,1,1,,1,15,4,,2,3,3,,,,,
