file,name,id,date,time,ight,R,T,Right,Thru,Left,ight,hru,T,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,07:00-07:15,1,48,,,316,,,19,2,,,,,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,07:15-07:30,1,49,,1,347,,,23,2,,,,,,1,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,07:30-07:45,2,53,,,362,,,28,2,,,,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,07:45-08:00,7,49,,,382,,,46,3,,,,1,,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,08:00-08:15,3,49,,1,370,,,34,5,,,,2,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,08:15-08:30,2,59,,,351,,,49,1,,,,1,1,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,08:30-08:45,3,53,,,315,,,45,3,,,,,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,08:45-09:00,5,63,,,296,,,54,4,,,,,4,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,09:00-09:15,4,66,,3,246,1,,49,8,,,,,4,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,09:15-09:30,6,67,,1,196,,,46,3,,,,,3,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,09:30-09:45,3,71,1,4,166,,3,38,4,,9,1,,3,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,09:45-10:00,3,57,2,2,149,1,2,36,4,,11,2,1,2,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,10:00-10:15,2,59,,1,111,,1,40,3,,17,1,,1,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,10:15-10:30,1,57,,2,92,,2,42,2,,19,2,,2,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,10:30-10:45,2,59,,1,72,,1,44,2,2,22,2,,2,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,10:45-11:00,1,65,1,1,61,,,37,1,,13,1,,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,11:00-11:15,1,61,1,,49,,2,48,2,,13,1,,2,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,11:15-11:30,1,51,,1,46,,1,55,2,,15,3,,1,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,11:30-11:45,1,41,1,,45,,,43,2,,19,2,,1,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,11:45-12:00,,36,1,,41,,1,37,3,,22,2,,3,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,12:00-12:15,1,39,,1,35,,1,58,3,,21,7,,7,2,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,12:15-12:30,1,46,1,,33,1,2,43,2,,23,4,1,6,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2000/August/CONSTITUTION%20AVENUE %20NE%20%26%208TH%20STREET.txt,CONSTITUTION AVENUE NE & 8TH STREET,x,8/23/2000,12:30-12:45,,56,,,32,,2,47,2,,22,4,,6,2,,,,,,
