id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,11:15-11:30,1,,,11,98,,,,4,1,132,1,12,2,3,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,11:30-11:45,,,,8,91,,,,3,,121,2,7,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,11:45-12:00,1,1,,6,89,,,,4,,125,,2,2,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,12:00-12:15,1,,,4,93,,,1,6,,129,2,6,,4,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,12:15-12:30,,,,3,98,1,2,,11,,145,,2,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,12:30-12:45,,,1,2,101,1,1,,3,,111,3,8,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,12:45-13:00,1,,,1,116,,1,,2,,129,,6,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,14:00-14:15,1,,,2,146,,,,4,1,134,2,4,,3,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,14:15-14:30,,,,5,156,1,2,,1,,137,2,2,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,14:30-14:45,,,,7,196,,1,,,,129,1,4,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,14:45-15:00,,,,8,209,1,,,5,1,117,1,,,2,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,15:00-15:15,,,,13,198,,,,8,,188,2,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,15:15-15:30,,,,17,183,1,1,,11,1,175,1,3,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,15:30-15:45,,,,17,181,,2,2,11,,159,2,2,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,15:45-16:00,,,,18,176,,3,1,7,,130,3,4,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,16:00-16:15,,,,18,186,,2,,5,,124,,7,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,16:15-16:30,1,,,15,193,1,,,2,,125,,4,2,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,16:30-16:45,,,,13,206,,1,1,4,,114,,2,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,16:45-17:00,,,,14,198,,1,,6,1,129,1,7,3,4,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,17:00-17:15,1,,,13,186,,2,,5,,141,1,3,1,5,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,17:15-17:30,,,1,11,209,,,,,,104,2,4,2,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,17:30-17:45,1,,,9,176,,1,,6,4,116,,6,1,3,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/FLORIDA%20AVENUE %2011TH%20STREET%20%26%20CHURCH%20LOT%20NE.txt,FLORIDA AVENUE NE 11TH STREET & CHURCH LOT,x,8/27/2001,17:45-18:00,1,,,7,166,,,,3,,113,1,,,,,,,,,
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,07:00-07:15,30,,,,,,,279,23,,,,,17,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,07:15-07:30,25,,,,,,,391,32,,,,,13,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,07:30-07:45,25,,,,,,,470,28,,,,,15,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,09:00-09:15,19,,,,,,,326,32,,,,,2,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,09:15-09:30,25,,,,,,,306,21,,,,,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,09:30-09:45,27,,,,,,,296,14,,,,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,09:45-10:00,19,,,,,,,277,7,,,,,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,10:00-10:15,23,,,,,,,239,11,,,,,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,10:15-10:30,25,,,,,,,220,9,,,,,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,10:30-10:45,26,,,,,,,201,7,,,,,1,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,10:45-11:00,32,,,,,,,176,9,,,,,,,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,11:00-11:15,28,,,,,,,163,11,,,,,1,,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,11:15-11:30,26,,,,,,,159,13,,,,,,,5,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,11:30-11:45,28,,,,,,,167,20,,,,,3,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,11:45-12:00,20,,,,,,,161,14,,,,,16,,6,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,12:00-12:15,16,,,,,,,151,11,,,,,13,,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,12:15-12:30,25,,,,,,,139,9,,,,,21,,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,12:30-12:45,10,,,,,,,131,8,,,,,14,,7,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,12:45-13:00,23,,,,,,,126,7,,,,,11,,6,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,14:00-14:15,35,,,,,,,115,10,,,,,9,,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,14:15-14:30,29,,,,,,,156,14,,,,,7,,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,14:30-14:45,28,,,,,,,176,15,,,,,3,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,14:45-15:00,16,,,,,,,184,16,,,,,6,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,15:00-15:15,19,,,,,,,169,21,,,,,3,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,15:15-15:30,17,,,,,,,161,23,,,,,1,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,15:30-15:45,21,,,,,,,153,25,,,,,4,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,15:45-16:00,33,,,,,,,156,27,,,,,5,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,16:00-16:15,21,,,,,,,147,19,,,,,3,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,16:15-16:30,29,,,,,,,141,16,,,,,6,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,16:30-16:45,40,,,,,,,131,18,,,,,3,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,16:45-17:00,22,,,,,,,121,17,,,,,2,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,17:00-17:15,15,,,,,,,103,15,,,,,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,17:15-17:30,18,,,,,,,91,14,,,,,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,17:30-17:45,20,,,,,,,81,11,,,,,1,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/August/NEW%20YORK%20AVENUE %2018TH%20STREET%20%26%20E%20STREET%20NW.txt,NEW YORK AVENUE NW 18TH STREET & E STREET,x,8/30/2001,17:45-18:00,19,,,,,,,76,8,,,,,2,,4,,,,,
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,07:00-07:15,4,17,2,2,30,,5,27,1,5,92,29,7,9,2,17,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,07:15-07:30,6,19,2,5,37,,6,22,,4,86,22,6,5,2,20,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,07:30-07:45,9,16,,3,42,,4,31,2,5,98,27,10,8,,19,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,07:45-08:00,8,25,,4,39,1,4,24,1,7,117,33,8,6,1,24,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,08:00-08:15,7,24,2,3,40,1,3,36,,11,104,41,7,4,,23,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,08:15-08:30,10,27,1,3,38,,5,29,,6,107,37,5,6,4,28,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,08:30-08:45,9,24,,2,41,1,3,40,2,9,113,45,2,5,,25,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,08:45-09:00,8,25,2,6,49,2,9,57,1,8,104,48,2,7,2,23,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,11:15-11:30,5,17,1,3,21,3,6,21,1,6,53,16,3,4,4,8,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,11:30-11:45,6,14,1,4,19,3,9,26,2,5,59,11,2,2,1,9,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,11:45-12:00,9,11,2,3,24,1,6,22,1,3,50,20,5,6,2,11,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,12:00-12:15,8,13,1,2,27,1,10,16,3,2,54,24,7,3,2,7,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,12:15-12:30,10,16,1,2,25,,7,28,2,4,46,18,4,5,3,6,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,12:30-12:45,7,19,3,,20,1,8,34,2,3,51,22,5,2,,8,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,12:45-13:00,8,17,2,,28,,5,37,,2,48,28,6,4,1,9,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,14:00-14:15,9,17,1,2,24,2,4,32,1,2,37,25,1,2,1,5,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,14:15-14:30,6,19,,1,29,,6,26,3,3,41,31,2,2,1,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,14:30-14:45,7,15,,1,31,1,8,38,3,4,38,32,,5,2,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,14:45-15:00,10,21,2,3,37,3,12,29,11,2,44,23,4,4,4,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,15:00-15:15,16,34,4,4,65,5,9,32,13,2,43,27,2,,3,9,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,15:15-15:30,18,41,3,3,93,3,11,38,12,1,43,29,1,,2,11,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,15:30-15:45,22,47,5,5,98,5,7,35,15,2,42,30,2,,2,13,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,15:45-16:00,23,49,3,2,101,5,5,39,13,5,37,21,1,,2,10,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,16:00-16:15,19,50,6,3,99,3,7,42,18,3,28,17,2,,1,12,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,16:15-16:30,26,46,2,5,114,6,11,37,16,2,34,23,3,,1,15,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,16:30-16:45,24,48,7,4,117,8,8,46,13,1,36,28,2,,2,14,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,16:45-17:00,18,55,6,6,115,7,4,43,12,1,41,25,1,,,16,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,17:00-17:15,20,52,4,3,122,5,5,49,16,,37,19,1,,3,16,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,17:15-17:30,27,47,5,5,119,5,7,38,14,2,32,21,6,,3,13,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,17:30-17:45,25,46,3,9,109,6,11,42,17,4,38,17,4,,,10,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/24TH%20STREET%20%26%20K%20STREET%20(SERVICE%20ROAD)%20NW.txt,24TH STREET NW & K STREET (SERVICE ROAD),x,12/11/2001,17:45-18:00,26,40,1,7,94,4,6,33,15,,44,19,2,,,10,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/39TH%20STREET%20%26%20KLINGLE%20PLACE%20NW.txt,39TH STREET NW & KLINGLE PLACE,x,12/5/2001,07:00-07:15,8,,,,,,,85,,,,,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/December/39TH%20STREET%20%26%20KLINGLE%20PLACE%20NW.txt,39TH STREET NW & KLINGLE PLACE,x,12/5/2001,07:15-07:30,11,,,,,,,94,,,,,,,,,,,,,
