id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,,
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:00-06:15,25,33,0,4,29,5,1,13,14,26,21,14,2,6,6,6,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:15-06:30,13,27,1,5,40,1,1,9,18,17,16,19,2,2,2,2,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:30-06:45,19,28,3,1,38,8,1,14,13,31,17,21,9,10,5,3,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:45-07:00,13,48,0,3,31,6,1,15,11,24,23,16,8,12,6,8,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:00-07:15,18,55,1,16,35,6,5,16,10,42,37,11,15,11,1,5,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:15-07:30,24,62,3,2,32,11,1,21,25,34,21,25,11,25,6,13,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:30-07:45,21,94,2,1,43,4,2,25,33,36,28,9,24,28,9,5,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:45-08:00,26,105,2,4,31,12,2,14,26,31,33,34,30,31,17,25,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:00-08:15,22,118,3,1,32,6,3,22,28,41,35,13,31,38,16,23,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:15-08:30,27,125,2,3,44,9,4,16,20,50,46,10,37,26,12,9,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:30-08:45,19,136,2,6,54,12,1,15,19,38,30,18,51,45,8,21,,,,,38.902522,-77.027039
dc/1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:45-09:00,21,108,2,3,42,18,1,25,37,35,46,14,50,52,17,21,,,,,38.902522,-77.027039
