INTID,COUNTY,CITY1,ROAD1,ROAD2,ROAD3,ROAD4,LATEST_DATE,LATITUDE,LONGITUDE
1,-,-,11TH STREET NW,K STREET NW,,,2/23/2011,38.9025241,-77.0270444
2,-,-,11TH STREET NW,M STREET NW,,,3/3/2011,38.905637,-77.027041
3,-,-,11TH STREET NW,N STREET NW,,,2/23/2011,38.9072421,-77.0270333
4,-,-,11TH STREET NW,O STREET NW,,,2/9/2011,38.9085253831587,-77.0270240306854
5,-,-,11TH STREET NW,P STREET NW,,,2/16/2011,38.9096451,-77.0270339
6,-,-,11TH STREET NW,Q STREET NW,,,2/9/2011,38.9111213,-77.0270354
7,-,-,11TH STREET NW,MASSACHUSETTS AVENUE NW,,,2/17/2011,38.9039642,-77.0270535
8,-,-,11TH STREET NW,RHODE ISLAND AVENUE NW,,,2/15/2011,38.91063,-77.0270222
9,-,-,18TH STREET SE,INDEPENDENCE AVENUE SE,,,2/10/2011,38.887589,-76.978996
10,-,-,10TH STREET NE,MARYLAND AVENUE NE,,,2/10/2011,38.8963315,-76.9926381
11,-,-,PARK ROAD NW,KLINGLE STREET NW,WALBRIDGE PLACE NW,,3/2/2011,38.9332139,-77.0454009
12,-,-,16TH STREET NW,MISSOURI AVENUE NW,,,3/16/2011,38.9624382,-77.0364449
13,-,-,7TH STREET NW,H STREET NW,,,4/21/2015,38.899775,-77.021885
14,-,-,14TH STREET NW,MISSOURI AVENUE NW,,,4/6/2011,38.9615905,-77.033349
15,-,-,16TH STREET NW,FORT STEVENS DRIVE NW,,,4/6/2011,38.9648264,-77.0362808
16,-,-,14TH STREET NW,MILITARY ROAD NW,,,3/29/2011,38.9621122,-77.0334472
17,-,-,OREGON AVENUE NW,MILITARY ROAD NW,,,3/29/2011,38.9616744,-77.052714
18,-,-,14TH STREET NW,EMERSON STREET NW,,,4/1/2011,38.9497469,-77.033297
19,-,-,35TH STREET NW,PILGRIM ROAD NW,GARFIELD STREET NW,,3/22/2011,38.927525,-77.0686366
20,-,-,WISCONSIN AVENUE NW,WOODLEY ROAD NW,,,4/7/2011,38.9318677,-77.0726508
21,-,-,34TH STREET NW,WOODLEY ROAD NW,,,4/6/2011,38.9314715,-77.0663947
22,-,-,35TH STREET NW,RESERVOIR ROAD NW,,,9/22/2010,38.9126679,-77.0692472
23,-,-,GEORGIA AVENUE NW,NEWTON PLACE NW,,,10/7/2010,38.9337993,-77.023916
24,-,-,WISCONSIN AVENUE NW,M STREET NW,,,9/16/2010,38.9051724,-77.0628078
25,-,-,18TH STREET NW,I STREET NW,,,5/25/2011,38.9013216,-77.0417002
26,-,-,VERMONT AVENUE NW,H STREET NW,,,5/24/2011,38.9002143,-77.035137
27,-,-,NEW YORK AVENUE NW,H STREET NW,,,6/7/2011,38.9000255,-77.0303534
28,-,-,14TH STREET NW,H STREET NW,,,4/13/2015,38.9002139,-77.0319079
29,-,-,17TH STREET NW,I STREET NW,,,6/8/2011,38.9013331,-77.0385172
30,-,-,16TH STREET NW,I STREET NW,,,5/25/2011,38.9013456,-77.0365417
31,-,-,17TH STREET NW,H STREET NW,,,4/21/2015,38.9002066,-77.0394721
32,-,-,15TH STREET NW,H STREET NW,,,6/9/2011,38.9002229,-77.0336426
33,-,-,14TH STREET NW,I STREET NW,,,4/13/2015,38.901334,-77.0319138
34,-,-,I STREET NW,15TH STREET NW,VERMONT AVENUE NW,,6/15/2011,38.9013465,-77.0345887
35,-,-,7TH STREET NW,T STREET NW,,,6/23/2011,38.915572,-77.021919
36,-,-,13TH STREET NW,U STREET NW,,,7/14/2011,38.9170202,-77.0296142
37,-,-,GEORGIA AVENUE NW,QUINCY STREET NW,,,7/20/2011,38.9376112,-77.0244706
38,-,-,14TH STREET NW,U STREET NW,,,7/19/2011,38.917097,-77.031711
39,-,-,15TH STREET NW,I STREET NW,,,7/26/2011,38.9013333,-77.0336191
40,-,-,46TH STREET NW,YUMA STREET NW,,,8/9/2011,38.946286,-77.090611
