INTID,COUNTY,CITY1,ROAD1,ROAD2,ROAD3,ROAD4,LATEST_DATE,LATITUDE,LONGITUDE
41,-,-,13TH STREET NW,KENNEDY STREET NW,,,9/14/2011,38.9562256,-77.0296806
42,-,-,CONNECTICUT AVENUE NW,MCKINLEY STREET NW,,,9/27/2011,38.9649295,-77.0755976
43,-,-,NEW HAMPSHIRE AVENUE NW,MISSOURI AVENUE NW,,,9/21/2011,38.9551756,-77.0102957
44,-,-,GEORGIA AVENUE NW,KENNEDY STREET NW,,,9/13/2011,38.956216,-77.028029
45,-,-,MARTIN LUTHER KING AVENUE SW,CHESAPEAKE STREET SW,,,9/21/2011,38.828656,-77.012585
46,-,-,NORTH CAPITOL STREET NE,MISSOURI AVENUE NE,RIGGS ROAD NE,,10/5/2011,38.9548135,-77.0090331
47,-,-,1ST STREET SE,CHESAPEAKE STREET SE,,,8/2/2012,38.8292055,-77.0059053
48,-,-,2ND STREET SE,NORTH CAROLINA AVENUE SE,D STREET SE,,7/24/2012,38.8842776,-77.0035259
49,-,-,3RD STREET NE,A STREET NE,,,8/7/2012,38.890936,-77.002043
50,-,-,3RD STREET SE,I STREET SE,,,7/24/2012,38.879285,-77.00204
51,-,-,4TH STREET SE,SOUTH CAROLINA AVENUE SE,,,8/7/2012,38.8827051,-77.0005921
52,-,-,4TH STREET SE,I STREET SE,,,7/24/2012,38.879282,-77.00058
53,-,-,6TH STREET NE,I STREET NE,,,8/7/2012,38.9013257,-76.998446
54,-,-,11TH STREET NE,F STREET NE,,,8/7/2012,38.8973297,-76.991527
55,-,-,14TH STREET SE,A STREET SE,,,8/8/2012,38.888671,-76.985511
56,-,-,14TH STREET SE,U STREET SE,,,8/2/2012,38.86587,-76.9852715
57,-,-,16TH STREET SE,RIDGE PLACE SE,,,7/26/2012,38.868846,-76.982221
58,-,-,17TH STREET NE,EAST CAPITOL STREET NE,,,8/9/2012,38.8898,-76.980764
59,-,-,17TH STREET SE,INDEPENDENCE AVENUE SE,,,8/9/2012,38.887589,-76.980763
60,-,-,17TH STREET SE,POTOMAC AVENUE SE,,,8/7/2012,38.882259,-76.98076
61,-,-,17TH STREET SE,MASSACHUSETTS AVENUE SE,,,8/15/2012,38.885949,-76.980766
62,-,-,19TH STREET NE,C STREET NE,,,8/16/2012,38.8932349,-76.9772556
63,-,-,19TH STREET NE,EAST CAPITOL STREET NE,,,8/8/2012,38.8898603,-76.9772508
64,-,-,19TH STREET SE,INDEPENDENCE AVENUE SE,,,8/15/2012,38.8877208,-76.9772582
65,-,-,44TH STREET NE,SHERIFF ROAD NE,,,7/25/2012,38.9027871,-76.9391564
66,-,-,54TH PLACE NE,HAYES STREET NE,,,7/24/2012,38.899268,-76.922222
67,-,-,46TH STREET SE,B STREET SE,BASS PLACE SE,,7/26/2012,38.888045,-76.935678
68,-,-,RIDGE ROAD SE,ANACOSTIA ROAD SE,,,8/7/2012,38.888824,-76.95214
69,-,-,17TH STREET NE,C STREET NE,,,8/21/2012,38.8933687,-76.9807611
70,-,-,19TH STREET SE,POTOMAC AVENUE SE,,,8/21/2012,38.8836834,-76.9772678
72,-,-,ALABAMA AVENUE SE,18TH PLACE SE,,,9/3/2014,,
73,-,-,HARTFORD STREET SE,ALABAMA AVENUE SE,,,9/4/2014,38.854472,-76.969973
74,-,-,7TH STREET NE,FRANKLIN STREET NE,,,4/24/2015,38.92558,-76.996157
75,-,-,EDGEWOOD STREET NE,8 STREET NE,,,9/10/2014,38.925459,-76.994982
76,-,-,14TH STREET NW,K STREET NW,,,4/23/2015,38.902472,-77.031863
77,-,-,14TH STREET NW,IRVING STREET NW,,,4/16/2015,38.928763,-77.032632
78,-,-,14TH STREET NW,COLUMBIA ROAD NW,,,4/8/2015,38.927524,-77.032506
79,-,-,14TH STREET NW,F STREET NW ,,,4/15/2015,38.897352,-77.031927
80,-,-,14TH STREET NW,PARK ROAD NW,,,4/21/2015,38.930224,-77.032743
81,-,-,14TH STREET NW,PENNSYLVANIA AVENUE NW,,,4/15/2015,38.89553,-77.031954
82,-,-,17TH STREET NW,K STREET NW,,,4/22/2015,38.902531,-77.038488
83,-,-,36TH STREET NW,WOODLEY ROAD NW,,,4/16/2015,38.931748,-77.070884
84,-,-,CONNECTICUT AVENUE NW,K STREET NW,,,4/22/2015,38.902527,-77.039381
85,-,-,17TH STREET NW,RHODE ISLAND AVENUE NW,,,4/22/2015,38.906505,-77.038515
86,-,-,14TH STREET NW,G STREET NW,,,4/15/2015,38.898314,-77.031906
87,-,-,MARTIN LUTHER KING AVENUE SE,STANTON ROAD SE,,,4/8/2015,38.859268,-76.995192
88,-,-,19TH STREET NW,L STREET NW,,,4/24/2015,38.90375,-77.04345
89,-,-,GEORGIA AVENUE NW,NEW HAMPSHIRE AVENUE NW,,,4/16/2015,38.936429,-77.024288
90,-,-,12TH STREET NW ,MASSACHUSETTS AVENUE NW,,,4/23/2015,38.904292,-77.028097
91,-,-,BRENTWOOD ROAD NE,W STREET NE,,,4/8/2015,38.919261,-76.99134
92,-,-,14TH STREET NW,NEW YORK AVENUE NW,,,4/13/2015,38.899408,-77.031884
93,-,-,36TH STREET NW,LOWELL STREET NW,,,4/21/2015,38.932532,-77.070884
94,-,-,9TH STREET SE,NORTH CAROLINA AVENUE SE,,,5/5/2015,38.888402,-76.993754
