INTID,COUNTY,CITY1,ROAD1,ROAD2,ROAD3,ROAD4,LATEST_DATE,LATITUDE,LONGITUDE
360,Maricopa,Avondale,99th Ave,McDowell Rd,,,3/25/2010,33.4648021,-112.2724376
508,Maricopa,Avondale,107th Ave,I-10,,,3/25/2010,33.4606255000398,-112.289907932281
509,Maricopa,Avondale,107th Ave,I-10,,,3/25/2010,33.4617711809947,-112.289843559265
510,Maricopa,Avondale,99th Ave,I-10,,,3/25/2010,33.4607687109872,-112.272505760193
511,Maricopa,Avondale,99th Ave,I-10,,,3/25/2010,33.4623261147641,-112.272527217865
71,Maricopa,Chandler,Alma School Rd,Chandler Heights Rd,,,10/21/2008,33.2327917141091,-111.858394145966
72,Maricopa,Chandler,Alma School Rd,Ocotillo Rd,,,10/23/2008,33.2471087876734,-111.865169405937
73,Maricopa,Chandler,Alma School Rd,Queen Creek Rd,,,11/18/2008,33.2618989888543,-111.858565807343
74,Maricopa,Chandler,Chandler Blvd,Dobson Rd,,,10/23/2008,33.3059653938753,-111.876335442066
75,Maricopa,Chandler,Chandler Heights Rd,Arizona Ave,,,10/28/2008,33.2330497203522,-111.841295063496
76,Maricopa,Chandler,Chandler Heights Rd,Lindsay Rd,,,11/5/2008,33.2337339940927,-111.77272439003
77,Maricopa,Chandler,Dobson Rd,Ocotillo Rd,,,11/13/2008,33.2437170511337,-111.87727689743
78,Maricopa,Chandler,Chandler Heights Rd,Cooper Rd,,,10/29/2008,33.2335634870386,-111.806552410126
79,Maricopa,Chandler,Dobson Rd,Queen Creek Rd,,,11/5/2008,33.2615491131007,-111.881042718887
80,Maricopa,Chandler,Germann Rd,Arizona Ave,,,10/14/2008,33.276610444254,-111.841603517532
81,Maricopa,Chandler,McQueen Rd,Germann Rd,,,10/14/2008,33.2770678948999,-111.806885004044
82,Maricopa,Chandler,McQueen Rd,Germann Rd,,,10/21/2008,33.2768167458225,-111.824104785919
83,Maricopa,Chandler,Ocotillo Rd,Arizona Ave,,,10/21/2008,33.2475977970326,-111.841238737106
84,Maricopa,Chandler,Ocotillo Rd,Cooper Rd,,,10/22/2008,33.2480823173688,-111.806691884995
85,Maricopa,Chandler,Ocotillo Rd,McQueen Rd,,,10/23/2008,33.2485758075427,-111.772617101669
86,Maricopa,Chandler,Pecos Rd,Cooper Rd,,,10/23/2006,33.2917812786149,-111.806986927986
87,Maricopa,Chandler,Ocotillo Rd,McQueen Rd,,,10/23/2006,33.247786221927,-111.824061870575
88,Maricopa,Chandler,Price Rd,Queen Creek Rd,,,10/23/2008,33.261432487538,-111.888799667358
89,Maricopa,Chandler,Queen Creek Rd,Arizona Ave,,,11/19/2008,33.2621053251803,-111.841335296631
90,Maricopa,Chandler,Queen Creek Rd,Cooper Rd,,,11/18/2008,33.2625718229033,-111.806788444519
91,Maricopa,Chandler,ray rd,Dobson Rd,,,10/23/2008,33.3204968432844,-111.876375675201
92,Maricopa,Chandler,Ray Rd,McQueen Rd,,,10/21/2008,33.3206402852844,-111.824126243591
93,Maricopa,Chandler,Riggs Rd,Cooper Rd,,,10/15/2008,33.2190153190318,-111.806530952454
95,Maricopa,Chandler,Warner Rd,McQueen Rd,,,10/14/2008,33.3351536020374,-111.824276447296
96,Maricopa,Chandler,Chandler Heights Rd,Gilbert Rd,,,9/16/2008,33.2336891238475,-111.789364814758
